,Country,Date,TimeStamp,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed (mph)
katsuura,jp,12/9/2017,12/9/2017 14:00,20,70,35.13,140.3,42.8,10.29
hambantota,lk,12/9/2017,12/9/2017 14:47,76,100,6.12,81.12,79.45,1.83
kapaa,us,12/9/2017,12/9/2017 13:56,40,100,22.08,-159.32,68,5.82
dikson,ru,12/9/2017,12/9/2017 14:47,76,100,73.51,80.55,2.68,27.34
san patricio,mx,12/9/2017,12/9/2017 13:41,75,83,19.22,-104.7,71.6,3.96
sindor,ru,12/9/2017,12/9/2017 14:47,56,79,62.86,51.89,6.59,2.95
cayenne,gf,12/9/2017,12/9/2017 14:00,68,88,4.93,-52.33,78.8,3.36
tautira,pf,12/9/2017,12/9/2017 14:30,68,74,-17.73,-149.15,78.8,5.82
qaanaaq,gl,12/9/2017,12/9/2017 14:47,88,95,77.48,-69.36,22.52,12.12
punta arenas,cl,12/9/2017,12/9/2017 14:00,75,75,-53.15,-70.92,44.6,12.75
birkeland,no,12/9/2017,12/9/2017 14:20,40,64,58.33,8.23,37.4,9.17
gambela,et,12/9/2017,12/9/2017 14:47,0,41,8.25,34.58,79.4,3.29
melito di napoli,it,12/9/2017,12/9/2017 14:20,75,71,40.92,14.23,55.4,10.29
chernyshevskiy,ru,12/9/2017,12/9/2017 14:47,32,0,63.01,112.47,-32.02,4.29
nurota,uz,12/9/2017,12/9/2017 14:00,90,74,40.56,65.69,35.6,11.41
tura,ru,12/9/2017,12/9/2017 14:47,24,34,64.28,100.25,-23.61,2.51
lidkoping,se,12/9/2017,12/9/2017 14:20,80,69,58.51,13.16,39.2,8.05
comodoro rivadavia,ar,12/9/2017,12/9/2017 14:00,40,32,-45.87,-67.5,68,24.16
prince rupert,ca,12/9/2017,12/9/2017 14:00,90,66,54.32,-130.32,51.8,16.11
ilulissat,gl,12/9/2017,12/9/2017 13:50,75,47,69.22,-51.1,37.4,12.75
arraial do cabo,br,12/9/2017,12/9/2017 14:00,40,74,-22.97,-42.03,84.2,6.76
hasaki,jp,12/9/2017,12/9/2017 14:00,0,100,35.73,140.83,32,6.76
mar del plata,ar,12/9/2017,12/9/2017 14:00,0,65,-38,-57.56,77,9.17
jurmala,lv,12/9/2017,12/9/2017 14:20,75,86,56.97,23.77,33.8,12.75
griffith,au,12/9/2017,12/9/2017 14:47,0,68,-34.28,146.03,58.75,4.97
new norfolk,au,12/9/2017,12/9/2017 14:00,40,54,-42.78,147.06,59,13.87
koungou,yt,12/9/2017,12/9/2017 14:00,40,66,-12.73,45.2,86,10.29
avarua,ck,12/9/2017,12/9/2017 14:00,90,94,-21.21,-159.78,75.2,9.17
adrar,dz,12/9/2017,12/9/2017 14:00,0,37,27.87,-0.29,66.2,12.8
kirkuk,iq,12/9/2017,12/9/2017 14:47,0,70,35.47,44.39,42.01,5.53
gombong,id,12/9/2017,12/9/2017 14:47,24,93,-7.61,109.51,79.63,2.95
pisco,pe,12/9/2017,12/9/2017 14:00,90,82,-13.7,-76.22,68,5.82
vila franca do campo,pt,12/9/2017,12/9/2017 14:30,20,82,37.72,-25.43,68,6.93
atuona,pf,12/9/2017,12/9/2017 14:47,32,100,-9.8,-139.03,79.94,14.7
bengkulu,id,12/9/2017,12/9/2017 14:47,44,100,-3.8,102.27,79.63,5.64
